Ticker,ref.date,price.adjusted,SMB,HML,RF,SP500Index
AMD,2014/10/1,2.8,4.21,-1.81,0,2018.05
AMD,2014/11/1,2.79,-2.06,-3.09,0,2067.56
AMD,2014/12/1,2.67,2.49,2.27,0,2058.9
AMD,2015/1/1,2.57,-0.56,-3.58,0,1994.99
AMD,2015/2/1,3.11,0.63,-1.86,0,2104.5
AMD,2015/3/1,2.68,3.04,-0.37,0,2067.89
AMD,2015/4/1,2.26,-3.06,1.82,0,2085.51
AMD,2015/5/1,2.28,0.93,-1.14,0,2107.39
AMD,2015/6/1,2.4,2.91,-0.79,0,2063.11
AMD,2015/7/1,1.93,-4.17,-4.13,0,2103.84
AMD,2015/8/1,1.81,0.33,2.77,0,1972.18
AMD,2015/9/1,1.72,-2.62,0.56,0,1920.03
AMD,2015/10/1,2.12,-1.88,-0.46,0,2079.36
AMD,2015/11/1,2.36,3.6,-0.42,0,2080.41
AMD,2015/12/1,2.87,-2.84,-2.61,0.01,2043.94
AMD,2016/1/1,2.2,-3.42,2.09,0.01,1940.24
AMD,2016/2/1,2.14,0.73,-0.57,0.02,1932.23
AMD,2016/3/1,2.85,0.82,1.19,0.02,2059.74
AMD,2016/4/1,3.55,0.76,3.28,0.01,2065.3
AMD,2016/5/1,4.57,-0.17,-1.66,0.01,2096.95
AMD,2016/6/1,5.14,0.61,-1.48,0.02,2098.86
AMD,2016/7/1,6.86,2.49,-1.32,0.02,2173.6
AMD,2016/8/1,7.4,1.15,3.18,0.02,2170.95
AMD,2016/9/1,6.91,2.12,-1.24,0.02,2168.27
AMD,2016/10/1,7.23,-4.4,4.09,0.02,2126.15
AMD,2016/11/1,8.91,5.71,8.21,0.01,2198.81
AMD,2016/12/1,11.34,0.1,3.53,0.03,2238.83
AMD,2017/1/1,10.37,-1.19,-2.75,0.04,2278.87
AMD,2017/2/1,14.46,-2.05,-1.67,0.04,2363.64
AMD,2017/3/1,14.55,1.14,-3.35,0.03,2362.72
AMD,2017/4/1,13.3,0.73,-2.13,0.05,2384.2
AMD,2017/5/1,11.19,-2.57,-3.78,0.06,2411.8
AMD,2017/6/1,12.48,2.25,1.48,0.06,2423.41
AMD,2017/7/1,13.61,-1.51,-0.31,0.07,2470.3
AMD,2017/8/1,13,-1.67,-2.09,0.09,2471.65
AMD,2017/9/1,12.75,4.47,3.14,0.09,2519.36
AMD,2017/10/1,10.99,-1.94,0.2,0.09,2575.26
AMD,2017/11/1,10.89,-0.55,-0.03,0.08,2647.58
AMD,2017/12/1,10.28,-1.32,0.06,0.09,2673.61
AMD,2018/1/1,13.74,-3.13,-1.29,0.12,2823.81
AMD,2018/2/1,12.11,0.25,-1.04,0.11,2713.83
AMD,2018/3/1,10.05,4.06,-0.21,0.11,2640.87
AMD,2018/4/1,10.88,1.13,0.54,0.14,2648.05
AMD,2018/5/1,13.73,5.25,-3.2,0.14,2705.27
AMD,2018/6/1,14.99,1.14,-2.34,0.14,2718.37
AMD,2018/7/1,18.33,-2.22,0.47,0.16,2816.29
AMD,2018/8/1,25.17,1.14,-3.94,0.16,2901.52
AMD,2018/9/1,30.889999,-2.27,-1.7,0.15,2913.98
AMD,2018/10/1,18.209999,-4.78,3.4,0.19,2711.74
AMD,2018/11/1,21.299999,-0.68,0.3,0.18,2760.17
AMD,2018/12/1,18.459999,-2.38,-1.84,0.2,2506.85
AMD,2019/1/1,24.41,2.9,-0.46,0.21,2704.1
AMD,2019/2/1,23.530001,2.05,-2.67,0.18,2784.49
AMD,2019/3/1,25.52,-3.05,-4.17,0.19,2834.4
AMD,2019/4/1,27.629999,-1.74,2.15,0.21,2945.83
AMD,2019/5/1,27.41,-1.32,-2.37,0.21,2752.06
AMD,2019/6/1,30.370001,0.29,-0.71,0.18,2941.76
AMD,2019/7/1,30.450001,-1.93,0.48,0.19,2980.38
AMD,2019/8/1,31.450001,-2.38,-4.78,0.16,2926.46
AMD,2019/9/1,28.99,-0.96,6.75,0.18,2976.74
AMD,2019/10/1,33.93,0.29,-1.91,0.16,3037.56
AMD,2019/11/1,39.150002,0.77,-2.02,0.12,3140.98
AMD,2019/12/1,45.860001,0.73,1.75,0.14,3230.78
AMD,2020/1/1,47,-3.11,-6.25,0.13,3225.52
AMD,2020/2/1,45.48,1.07,-3.81,0.12,2954.22
AMD,2020/3/1,45.48,-4.83,-13.87,0.13,2584.59
AMD,2020/4/1,52.389999,2.45,-1.33,0,2912.43
AMD,2020/5/1,53.799999,2.47,-4.88,0.01,3044.31
AMD,2020/6/1,52.610001,2.69,-2.2,0.01,3100.29
AMD,2020/7/1,77.43,-2.33,-1.41,0.01,3271.12
AMD,2020/8/1,90.82,-0.22,-2.97,0.01,3500.31
AMD,2020/9/1,81.989998,0.02,-2.71,0.01,3363
AMD,2020/10/1,75.290001,4.38,4.25,0.01,3269.96
AMD,2020/11/1,92.660004,5.8,2.09,0.01,3621.63
AMD,2020/12/1,91.709999,4.89,-1.51,0.01,3756.07
AMD,2021/1/1,85.639999,7.36,3.01,0.01,3714.24
AMD,2021/2/1,84.510002,2.05,7.15,0,3811.15
AMD,2021/3/1,78.5,-2.37,7.39,0,3972.89
AMD,2021/4/1,81.620003,-3.19,-0.95,0,4181.17
AMD,2021/5/1,80.080002,-0.25,7.09,0,4204.11
AMD,2021/6/1,93.93,1.68,-7.87,0,4297.5
AMD,2021/7/1,106.190002,-3.97,-1.78,0,4395.26
AMD,2021/8/1,110.720001,-0.42,-0.15,0,4522.68
AMD,2021/9/1,102.900002,0.71,5.08,0,4307.54
AMD,2021/10/1,120.230003,-2.35,-0.49,0,4605.38
